player,matches,runs,balls,strike_rate,wickets,balls_bowled,runs_conceded,economy,recent_form,performance_score
CJ Anderson,29.0,0.06713251809333666,436.0,0.41131498470948014,0.06572769953051644,315.0,525.0,0.2777777777777778,0.4211111111111111,0.13603483017044474
CJ Dala,0.0,0.0,0.0,0.0,0.0,19.0,34.0,0.2982456140350877,0.0,-0.02982456140350877
CJ Ferguson,8.0,0.012228599950087349,119.0,0.2745098039215686,0.0,0.0,0.0,0.0,0.2745098039215686,0.08663295115900116
CJ Green,0.0,0.0,0.0,0.0,0.0,17.0,24.0,0.23529411764705882,0.0,-0.023529411764705882
CJ Jordan,12.0,0.010107312203643625,81.0,0.33333333333333337,0.16901408450704225,717.0,1111.0,0.2582519758251976,0.3333333333333333,0.11996588281551608
CJ McKay,1.0,0.0009982530571499876,15.0,0.17777777777777778,0.004694835680751174,42.0,60.0,0.23809523809523808,0.17777777777777776,0.03104690701399982
CK Kapugedera,3.0,0.001996506114299975,24.0,0.2222222222222222,0.0,17.0,49.0,0.48039215686274506,0.2222222222222222,0.01932622812039715
CK Langeveldt,2.0,0.0009982530571499876,9.0,0.2962962962962963,0.06103286384976526,165.0,199.0,0.201010101010101,0.2962962962962963,0.0843954833203226
CL White,45.0,0.12116296481157975,774.0,0.41817398794142985,0.004694835680751174,46.0,86.0,0.3115942028985507,0.39999999999999997,0.13696482329974308
CM Gautam,13.0,0.02108809583229349,158.0,0.3565400843881857,0.0,0.0,0.0,0.0,0.35654008438818563,0.11434285885775841
CR Brathwaite,14.0,0.022585475418018468,120.0,0.5027777777777779,0.07511737089201878,266.0,384.0,0.24060150375939848,0.5027777777777778,0.15345744207670464
CR Woakes,12.0,0.00973296730721238,77.0,0.33766233766233766,0.14553990610328638,463.0,674.0,0.24262059035277175,0.3376623376623376,0.11682815734677005
CRD Fernando,2.0,0.0004991265285749938,3.0,0.4444444444444444,0.0892018779342723,249.0,306.0,0.2048192771084337,0.4444444444444444,0.13532656939105928
CV Varun,10.0,0.003119540803593711,49.0,0.17006802721088438,0.39906103286384975,1624.0,2042.0,0.20956486042692934,0.17006802721088435,0.13092101961779262
